Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
GCF_001377415.1_6972_6_4_genomic	79	70	50	46	38	30	4350651	4345588	4295168	4261172	4116455	3803785	74	296880	4348577	65.59	136544	83713	12	22	4.23
GCF_001377435.1_6954_7_39_genomic	115	84	59	53	42	32	4361414	4342980	4285045	4241833	4063112	3676543	102	295555	4356626	65.59	114592	64163	13	25	4.04
GCF_001377455.1_6972_6_3_genomic	78	62	50	46	35	25	4357015	4349225	4320421	4288743	4096563	3711769	69	526716	4353456	65.59	161223	83805	9	19	2.71
GCF_001377475.1_6972_6_32_genomic	55	51	38	37	31	28	4356043	4353703	4318590	4311214	4218190	4101298	53	298411	4355282	65.60	166637	115529	10	18	9.34
GCF_001377495.1_6954_7_2_genomic	93	80	57	52	43	34	4355397	4347852	4293206	4254335	4089769	3740266	88	233891	4353561	65.60	105809	65668	14	27	0.74
GCF_001377515.1_6972_6_14_genomic	76	66	45	38	34	26	4387910	4382303	4330339	4283866	4207155	3926942	72	556590	4386386	65.59	185774	95775	9	17	5.56
GCF_001377535.1_6954_7_17_genomic	100	71	47	42	38	34	4362679	4345938	4295812	4254661	4178755	4024700	86	299246	4357453	65.60	114679	86629	12	23	2.52
GCF_001377555.1_6972_6_5_genomic	77	64	48	42	35	27	4348236	4341641	4304998	4260797	4129276	3820410	69	487164	4344979	65.58	136397	77276	9	19	2.49
GCF_001377575.1_6972_6_41_genomic	76	61	45	42	36	26	4348033	4338860	4302533	4283428	4168595	3783385	72	393196	4346271	65.60	161932	90476	10	19	15.88
GCF_001377595.1_6972_6_31_genomic	82	71	53	47	38	27	4356291	4350423	4308351	4265610	4096844	3669587	76	578189	4354024	65.59	131748	81784	11	21	7.95
GCF_001377615.1_6954_1_58_genomic	93	68	43	43	36	31	4355021	4340126	4284739	4284739	4141711	3973764	82	347219	4350911	65.60	141214	82265	11	20	0.44
GCF_001377635.1_6972_6_42_genomic	83	71	53	50	40	32	4355263	4348863	4296754	4275830	4092013	3782470	77	338682	4352947	65.59	122503	71448	13	24	2.89
GCF_001377655.1_6954_8_77_genomic	109	86	54	48	38	27	4385520	4371644	4303757	4259981	4097137	3712713	98	580252	4381367	65.58	134518	83261	10	21	0.00
GCF_001377675.1_6954_7_3_genomic	109	88	57	51	42	32	4362303	4349802	4279674	4233303	4071787	3714509	99	295493	4358167	65.60	106331	70845	13	25	0.02
GCF_001377695.1_6954_7_6_genomic	105	81	54	47	38	32	4393671	4378936	4321471	4268478	4124312	3910517	95	297176	4389809	65.58	125693	81249	12	23	0.52
GCF_001377715.1_6954_8_84_genomic	110	85	53	49	40	31	4358764	4344560	4272674	4240406	4076488	3725077	101	295618	4355281	65.59	125439	71587	12	24	0.76
GCF_001377735.1_6972_6_34_genomic	68	60	42	36	31	26	4385243	4381249	4344717	4296717	4219823	4055955	64	503112	4383727	65.58	184683	118269	9	17	1.39
GCF_001377755.1_6954_7_22_genomic	88	75	49	45	37	30	4394407	4386614	4329559	4303664	4147127	3916692	82	298281	4392101	65.58	160551	84270	11	21	0.05
GCF_001377775.1_6972_6_20_genomic	73	66	52	46	38	30	4354714	4351588	4318458	4275610	4126082	3815965	68	296909	4352802	65.60	136430	71436	11	22	6.69
GCF_001377795.1_6954_1_74_genomic	88	69	40	40	34	30	4366345	4354335	4289746	4289746	4163161	4001023	80	350354	4363428	65.60	155471	97799	11	19	1.42
GCF_001377815.1_6972_6_38_genomic	72	62	43	39	36	28	4380819	4375187	4329720	4298386	4239569	3945351	68	266210	4379317	65.59	160346	102076	11	20	2.15
GCF_001377835.1_6954_7_32_genomic	107	83	54	47	38	30	4358532	4343810	4276919	4227015	4090276	3779051	99	575423	4355496	65.60	122526	77214	12	23	0.76
GCF_001377855.1_6954_1_64_genomic	81	64	42	40	34	28	4355346	4345725	4297250	4282678	4173279	3944286	72	347466	4352029	65.61	175272	86102	10	19	0.02
GCF_001377875.1_6954_7_23_genomic	115	82	55	49	40	30	4362514	4343144	4277066	4232256	4074841	3701817	102	294996	4357416	65.60	125276	71478	12	23	0.55
GCF_001377895.1_6954_1_91_genomic	116	88	59	55	43	32	4364173	4346756	4279906	4247236	4028781	3624770	109	295578	4361406	65.59	108738	64167	13	26	0.00
GCF_001377915.1_6954_1_75_genomic	96	73	51	44	37	32	4374826	4361044	4315030	4266829	4148163	3953234	86	232266	4370785	65.60	130668	96008	12	22	1.94
GCF_001377935.1_6972_6_39_genomic	86	71	54	49	41	31	4356687	4348731	4307113	4270274	4103236	3703755	78	468469	4353653	65.59	106370	71444	13	24	7.28
GCF_001377955.1_6972_6_18_genomic	62	54	40	36	28	25	4356704	4351290	4311454	4284152	4132421	4032022	61	501986	4356351	65.60	197844	108771	8	16	5.49
GCF_001377975.1_6954_8_85_genomic	96	78	53	46	38	30	4379357	4368279	4313821	4264514	4123458	3825575	88	491544	4376232	65.59	125482	86124	11	23	0.02
GCF_001377995.1_6954_8_86_genomic	112	87	58	52	43	33	4362155	4346828	4278943	4231572	4068010	3688996	103	297029	4358667	65.60	107343	64409	13	26	0.02
GCF_001378015.1_6954_7_33_genomic	109	82	55	49	41	32	4363035	4345194	4283635	4237779	4092174	3758785	104	295599	4361242	65.60	109868	71339	13	24	0.00
GCF_001378035.1_6954_8_65_genomic	109	81	59	52	41	33	4361359	4344774	4294947	4245368	4062263	3764208	97	295570	4356721	65.59	107149	70835	13	25	0.37
GCF_001378055.1_6972_6_36_genomic	80	68	48	45	38	32	4357534	4351375	4299359	4279250	4149564	3918945	73	393119	4354495	65.59	125406	86110	12	23	16.30
GCF_001378075.1_6954_8_63_genomic	105	80	55	50	40	33	4361858	4346637	4292249	4254353	4070704	3827541	96	295596	4358393	65.60	122546	71543	13	24	2.18
GCF_001378095.1_6954_8_49_genomic	105	79	52	47	37	29	4358039	4342742	4278732	4241106	4060773	3753785	93	523637	4353301	65.59	131823	73260	10	21	0.96
GCF_001378115.1_6954_7_8_genomic	111	86	57	51	42	34	4362305	4346750	4278787	4233487	4086200	3787258	105	295579	4359592	65.60	106338	70889	14	26	0.71
GCF_001378135.1_6954_1_62_genomic	108	84	58	52	41	30	4365873	4350562	4290710	4244959	4051630	3640434	101	526909	4363336	65.59	122549	65544	12	24	0.83
GCF_001378155.1_6954_8_80_genomic	93	71	54	49	39	32	4362993	4349160	4308550	4275820	4106143	3851460	84	379920	4359434	65.60	123101	81226	12	24	0.39
GCF_001378175.1_6954_7_34_genomic	104	79	54	47	40	29	4382038	4367585	4310288	4265251	4147127	3739125	93	599395	4377684	65.58	125514	65109	10	22	1.64
GCF_001378195.1_6954_8_82_genomic	96	80	54	49	40	31	4358352	4348153	4283934	4246302	4075992	3744094	90	484501	4356032	65.59	122554	70827	12	24	0.78
GCF_001378215.1_6954_1_90_genomic	95	75	46	42	37	30	4382652	4370842	4306030	4276450	4198943	3937504	88	298572	4379995	65.62	136488	98865	12	21	0.07
GCF_001378235.1_6954_8_64_genomic	114	89	59	54	43	32	4361053	4345943	4273603	4233127	4027650	3640856	107	295535	4358226	65.59	101799	70826	14	26	6.54
GCF_001378255.1_6954_1_63_genomic	106	80	54	49	41	30	4361532	4345245	4283238	4241664	4096681	3655337	96	523659	4357475	65.59	122547	64158	12	24	0.05
GCF_001378275.1_6954_8_62_genomic	94	73	52	41	38	31	4373807	4361329	4316906	4240739	4193484	3936258	85	242289	4370073	65.60	130604	95837	12	22	0.39
GCF_001378295.1_6954_8_83_genomic	91	71	45	43	35	30	4362010	4350741	4291844	4275656	4119572	3939630	83	287124	4359198	65.60	159466	82289	11	21	0.09
GCF_001378315.1_6954_7_7_genomic	116	85	57	51	41	31	4363771	4344884	4283940	4236429	4055349	3684463	102	578300	4358368	65.59	106876	64156	12	25	0.00
GCF_001378335.1_6954_7_21_genomic	112	85	59	51	42	34	4361519	4346048	4281258	4222678	4065155	3775464	103	295528	4358017	65.60	101801	70874	14	26	1.28
GCF_001378355.1_6954_7_36_genomic	108	83	59	54	42	32	4365222	4350607	4289803	4248625	4041239	3658002	99	296944	4361925	65.60	106351	65117	14	26	1.03
GCF_001378375.1_6954_7_35_genomic	92	70	45	43	36	31	4363119	4349415	4291401	4274710	4150719	3964000	87	281464	4361246	65.60	125509	84796	12	22	1.51
GCF_001378395.1_6954_1_89_genomic	91	73	48	44	38	29	4373682	4362505	4309030	4282635	4182270	3821389	84	296652	4370750	65.62	160921	82378	11	21	1.42
GCF_001378415.1_6954_8_81_genomic	103	81	54	50	41	33	4351663	4337880	4272175	4243574	4093359	3797937	96	295582	4348819	65.60	106474	70877	13	25	0.05
GCF_001378435.1_7841_6_22_genomic	109	81	56	52	40	30	4360749	4343801	4287319	4256056	4052249	3677852	99	526840	4356623	65.59	122569	64409	12	24	2.18
GCF_001378455.1_7841_7_89_genomic	114	90	60	56	45	32	4369030	4355115	4293457	4259075	4050924	3544039	105	233628	4365343	65.59	104797	61851	15	28	4.60
GCF_001378475.1_7755_3_71_genomic	124	97	65	59	46	33	4365940	4348880	4280564	4234527	4019458	3540366	115	230369	4362118	65.60	98864	59514	15	29	3.78
GCF_001378495.1_7755_5_63_genomic	85	73	45	42	35	29	4362843	4354190	4289917	4270230	4142143	3913947	83	366551	4361999	65.60	158045	96081	11	20	5.71
GCF_001378515.1_7769_7_25_genomic	113	89	60	56	43	30	4367193	4352059	4289294	4259041	4030212	3531379	105	295597	4363959	65.59	108509	61984	13	26	1.08
GCF_001378535.1_7769_7_47_genomic	102	79	54	52	42	32	4370459	4355272	4296173	4279654	4095490	3693393	96	230464	4368115	65.60	114774	65136	13	26	0.71
GCF_001378555.1_7156_7_69_genomic	114	82	58	55	43	31	4367521	4347669	4293920	4270274	4054464	3588482	106	230312	4364360	65.60	122528	69326	14	26	1.28
GCF_001378575.1_7841_7_88_genomic	138	102	68	60	48	31	4367775	4345595	4275982	4223686	4007103	3371568	126	241519	4362995	65.58	96419	53921	14	30	9.35
GCF_001378595.1_7841_6_23_genomic	113	87	63	57	45	32	4362133	4346507	4290250	4245231	4037230	3544917	104	295516	4358492	65.60	101971	69318	15	28	3.65
GCF_001378615.1_7769_7_23_genomic	92	67	45	41	34	29	4365312	4350362	4302498	4269210	4145563	3947350	81	532109	4360886	65.60	130693	95881	10	20	3.97
GCF_001378635.1_7755_3_70_genomic	122	85	60	54	45	33	4362535	4339941	4279197	4234511	4065936	3589027	110	295629	4357922	65.59	99175	60720	14	28	8.74
GCF_001378655.1_7769_7_45_genomic	105	80	56	52	41	31	4369026	4354396	4299211	4267828	4061394	3684361	94	529788	4364547	65.59	122534	65140	12	25	0.50
GCF_001378675.1_7755_5_64_genomic	122	91	62	57	43	33	4370369	4351196	4282655	4244357	4006428	3634451	111	294618	4365804	65.59	101929	61454	14	27	2.82
GCF_001378695.1_7769_7_46_genomic	114	85	56	52	41	30	4366148	4347617	4284695	4252399	4062772	3633028	107	523756	4363324	65.59	122534	68080	12	24	0.60
GCF_001378715.1_7769_7_24_genomic	100	80	54	49	39	31	4384266	4372349	4315725	4278164	4108600	3793719	95	294976	4382429	65.58	131476	64546	11	23	1.78
GCF_001378735.1_7769_8_90_genomic	102	74	48	42	35	28	4360945	4343535	4286793	4240128	4118504	3854628	93	261210	4357156	65.60	157784	96617	11	20	3.14
GCF_001378755.1_7755_5_60_genomic	105	85	62	56	44	32	4365132	4351862	4299891	4256368	4044957	3589409	100	295593	4363143	65.60	99191	61772	14	27	1.01
GCF_001378775.1_7755_3_69_genomic	118	88	62	56	43	32	4366460	4347579	4284781	4240283	4017033	3606666	108	294546	4362458	65.59	99191	64197	14	27	0.39
GCF_001378795.1_7769_7_44_genomic	112	79	54	50	38	28	4373613	4353011	4300234	4267561	4052886	3669338	103	527057	4370141	65.59	125487	71594	11	22	0.94
GCF_001378815.1_7769_7_27_genomic	109	81	55	52	43	31	4361665	4344500	4287073	4261738	4116732	3652940	98	295719	4357321	65.58	122529	67722	13	25	1.08
GCF_001378835.1_7156_7_66_genomic	102	80	55	48	40	33	4401935	4388082	4336902	4283010	4159752	3925719	94	297617	4398805	65.59	125573	71458	12	23	1.61
GCF_001378855.1_7769_8_91_genomic	109	81	56	52	41	30	4368292	4350385	4297145	4264446	4059578	3636462	99	529814	4364190	65.60	103879	64409	12	24	0.71
GCF_001378875.1_7755_3_68_genomic	112	82	59	54	44	31	4359426	4341588	4282061	4243896	4068320	3563714	102	295572	4355481	65.59	99246	68048	14	27	3.24
GCF_001378895.1_7755_5_61_genomic	130	104	71	62	48	33	4363700	4347906	4277262	4215482	3978515	3414966	123	205539	4360806	65.59	93994	59592	16	31	3.12
GCF_001378915.1_7841_7_87_genomic	114	86	57	53	44	31	4367703	4350095	4283675	4251933	4082738	3587929	104	295601	4363434	65.60	107428	64092	13	26	4.15
GCF_001378935.1_7769_7_43_genomic	100	79	52	47	37	26	4401963	4389199	4334673	4296430	4136140	3709239	92	286046	4399090	65.59	160557	83533	11	20	0.39
GCF_001378955.1_7156_6_41_genomic	93	69	45	40	33	28	4380877	4365525	4318135	4282817	4169004	3965638	84	574980	4377229	65.61	136333	95943	10	19	4.23
GCF_001378975.1_7755_5_62_genomic	121	89	58	54	43	31	4364973	4344821	4273867	4246517	4054894	3582983	113	292994	4361724	65.60	122576	64092	13	26	4.04
GCF_001378995.1_7769_8_92_genomic	123	88	62	57	45	32	4366271	4343834	4284174	4248029	4035623	3546173	116	295511	4363565	65.60	99254	64199	15	28	6.67
GCF_001379015.1_7841_7_86_genomic	107	83	52	46	38	33	4359312	4344295	4275290	4232172	4087630	3877583	100	230467	4356695	65.59	118894	75144	13	24	1.35
GCF_001379035.1_7156_6_42_genomic	82	67	46	45	38	29	4372453	4363963	4319119	4309787	4188999	3838321	74	298432	4369162	65.61	146357	81734	11	21	1.53
GCF_001379055.1_7769_7_20_genomic	113	84	58	54	44	32	4363576	4344760	4282857	4248838	4059125	3610026	103	295592	4359458	65.59	107281	60705	14	27	0.94
GCF_001379075.1_7156_7_64_genomic	101	78	48	45	36	30	4365256	4352451	4281058	4261361	4103607	3869340	92	305023	4362028	65.60	130822	81610	12	22	0.62
GCF_001379095.1_7755_5_87_genomic	99	75	51	46	38	31	4368706	4353553	4309080	4275967	4131146	3847594	91	253081	4365506	65.58	133179	82185	12	23	0.53
GCF_001379115.1_7156_7_65_genomic	109	84	55	51	41	30	4367497	4351853	4286076	4252198	4064957	3647495	101	526880	4364219	65.60	110652	68100	12	24	4.67
GCF_001379135.1_7156_6_43_genomic	105	76	51	50	38	27	4373809	4355215	4297795	4288794	4069681	3643347	96	526885	4370217	65.59	126659	71600	11	22	1.65
GCF_001379155.1_7841_7_62_genomic	171	123	79	71	51	28	4395117	4365972	4282775	4223469	3881454	3055233	155	240073	4389353	65.57	82051	41949	15	34	14.35
GCF_001379175.1_7841_7_92_genomic	119	91	61	56	43	31	4366133	4348569	4278970	4238553	3994606	3528959	110	295602	4362511	65.60	103965	60712	14	27	0.02
GCF_001379195.1_7755_2_21_genomic	84	72	52	49	41	32	4381786	4374620	4330013	4309134	4173411	3809066	79	299805	4379847	65.60	125668	65697	13	24	11.19
GCF_001379215.1_7769_8_49_genomic	106	83	55	51	39	31	4392348	4379390	4324013	4299285	4077482	3779495	97	292967	4388759	65.58	125581	65224	12	23	0.00
GCF_001379235.1_7769_7_22_genomic	115	89	59	54	44	31	4366532	4351118	4287131	4247112	4068921	3563864	105	291471	4362716	65.60	104105	64209	14	26	0.80
GCF_001379255.1_7156_6_44_genomic	82	65	45	38	33	27	4374100	4363579	4321712	4274548	4191048	3933798	75	292316	4371220	65.60	179314	103790	11	19	1.44
GCF_001379275.1_7841_7_63_genomic	159	109	73	61	47	29	4389601	4361397	4285674	4196154	3963695	3339316	137	230034	4380957	65.58	101964	58143	14	28	0.68
GCF_001379295.1_7755_5_86_genomic	131	96	65	57	46	32	4370578	4348804	4282327	4231667	4044215	3510609	120	230442	4366280	65.60	101985	64399	15	28	5.86
GCF_001379315.1_7755_5_65_genomic	110	84	57	54	44	30	4365095	4349315	4287404	4267501	4098118	3566418	102	529635	4361738	65.59	101986	61107	13	26	0.32
GCF_001379335.1_7841_6_34_genomic	108	85	60	55	42	32	4365232	4351218	4286334	4248023	4013865	3624729	102	295612	4362977	65.60	99191	64409	14	26	2.06
GCF_001379355.1_7156_7_62_genomic	86	71	46	43	37	31	4357737	4348540	4288987	4266505	4160761	3935116	81	299567	4355736	65.60	127828	98891	12	22	3.54
GCF_001379375.1_7769_7_21_genomic	119	85	60	56	43	33	4365784	4343730	4285584	4256338	4033986	3657501	111	295599	4362698	65.59	101928	61994	14	27	3.28
GCF_001379395.1_7755_5_66_genomic	128	100	61	56	45	32	4370419	4354037	4265745	4230801	4041982	3551152	118	295601	4366508	65.59	99030	62133	15	28	3.82
GCF_001379415.1_7755_2_23_genomic	109	84	61	56	44	34	4363743	4346931	4293476	4255394	4047781	3678929	102	230463	4360669	65.60	101854	64188	14	27	1.03
GCF_001379435.1_7156_7_63_genomic	101	76	50	46	39	31	4379372	4363654	4309919	4284036	4170372	3865579	93	299933	4376013	65.61	125608	81603	12	23	0.98
GCF_001379455.1_7755_5_85_genomic	116	88	61	54	43	29	4390821	4374421	4317354	4273790	4084856	3555850	104	233112	4386076	65.57	118241	64200	13	25	1.05
GCF_001379475.1_7755_5_67_genomic	107	80	56	51	41	32	4366561	4348933	4295408	4257353	4073013	3726063	99	295548	4363303	65.59	109136	70842	13	25	12.47
GCF_001379495.1_7769_7_48_genomic	99	78	52	47	38	28	4384240	4370325	4318014	4281003	4127063	3743891	91	299464	4381014	65.60	130603	83817	11	21	1.46
GCF_001379515.1_7841_6_35_genomic	95	80	55	50	38	29	4375754	4366486	4309352	4276425	4078420	3740754	89	245482	4373364	65.60	133117	81626	12	23	0.39
GCF_001379535.1_7841_7_90_genomic	115	87	61	53	43	31	4368254	4350803	4293596	4232502	4061845	3588620	105	526813	4364186	65.60	102449	62526	13	26	9.83
GCF_001379555.1_7156_7_88_genomic	119	86	60	56	44	31	4368803	4348052	4289433	4254826	4026601	3518635	109	230455	4364758	65.59	107277	61877	14	27	0.05
GCF_001379575.1_7841_6_36_genomic	103	78	55	50	40	30	4355555	4340439	4284895	4247079	4069050	3652825	95	288931	4352493	65.59	114024	71123	13	24	0.41
GCF_001379595.1_7156_6_47_genomic	102	74	51	45	36	26	4371645	4354412	4304839	4266479	4104721	3715204	90	302179	4366710	65.59	167116	81583	10	20	0.69
GCF_001379615.1_7755_2_17_genomic	108	84	60	55	44	32	4364904	4351289	4298244	4263501	4062186	3622858	97	268399	4360735	65.59	101812	64092	14	27	5.66
GCF_001379635.1_7156_7_89_genomic	90	69	48	44	36	32	4375565	4362297	4318730	4292884	4151538	4020410	84	294587	4373151	65.59	136259	86571	11	21	5.15
GCF_001379655.1_7156_7_61_genomic	97	79	53	49	42	31	4362733	4350890	4296046	4268491	4145156	3689716	93	232803	4361091	65.61	115654	78031	14	25	0.25
GCF_001379675.1_7755_2_16_genomic	86	70	51	47	35	29	4374453	4365106	4323628	4293916	4092534	3865499	79	523422	4371622	65.58	125568	86260	10	21	0.91
GCF_001379695.1_7755_2_1_genomic	114	84	61	56	44	31	4369439	4350350	4299228	4262736	4033275	3542498	106	295551	4366114	65.60	104025	64369	14	27	0.37
GCF_001379715.1_7156_7_90_genomic	99	78	53	48	39	29	4386477	4373686	4325064	4289878	4125440	3737462	91	303787	4383274	65.58	154050	65198	11	22	1.62
GCF_001379735.1_7841_6_38_genomic	121	89	65	58	45	32	4367191	4347924	4289871	4235340	4013082	3504627	110	295472	4362709	65.60	99084	59921	15	29	0.25
GCF_001379755.1_7156_6_48_genomic	108	79	56	53	42	31	4369509	4351649	4300234	4274240	4071037	3651557	97	295597	4365099	65.60	116145	70807	13	25	0.60
GCF_001379775.1_7755_2_20_genomic	96	72	52	47	37	28	4373383	4357826	4316607	4279109	4116622	3770262	86	523528	4369334	65.57	130667	86580	11	21	1.74
GCF_001379795.1_7841_6_14_genomic	109	89	63	57	47	34	4398242	4386833	4334749	4292338	4126275	3625992	100	231349	4394576	65.59	99514	64200	15	29	1.46
GCF_001379815.1_7841_6_39_genomic	113	84	58	52	43	30	4353304	4337064	4277549	4236872	4084485	3581061	100	230418	4348420	65.59	122569	64146	13	25	17.45
GCF_001379835.1_7156_7_49_genomic	95	70	49	44	38	32	4377531	4361632	4320051	4286583	4178761	3983534	84	298394	4373025	65.59	132529	86122	12	22	1.72
GCF_001379855.1_7841_6_15_genomic	151	104	65	57	44	31	4390223	4365891	4279817	4217521	3996681	3505801	127	281234	4381306	65.58	102557	61621	14	28	1.26
GCF_001379875.1_7156_6_21_genomic	110	81	56	52	41	30	4367995	4349900	4296867	4264508	4073554	3631696	97	529645	4362875	65.60	123715	64167	12	24	6.19
GCF_001379895.1_7156_7_50_genomic	113	85	59	54	44	33	4365333	4346833	4291246	4251369	4064466	3643442	106	232797	4362547	65.60	101804	65222	14	27	0.80
GCF_001379915.1_7841_6_41_genomic	122	87	62	56	45	34	4368761	4346483	4289947	4240775	4042742	3637089	112	230497	4364920	65.59	98843	64092	15	28	9.48
GCF_001379935.1_7755_3_66_genomic	109	87	60	56	43	31	4365163	4352042	4292346	4260917	4012505	3560521	103	295552	4362784	65.59	108820	63269	13	26	1.76
GCF_001379955.1_7841_6_17_genomic	116	81	59	54	43	33	4364647	4343303	4294140	4256328	4066704	3688711	102	299234	4359025	65.59	107290	64091	13	26	10.42
GCF_001379975.1_7769_7_29_genomic	111	83	54	52	42	34	4368219	4351142	4287914	4273295	4101263	3787989	105	230382	4365784	65.60	108845	69344	14	26	5.25
GCF_001379995.1_7769_7_42_genomic	106	82	55	50	40	30	4367354	4352242	4289683	4250244	4070809	3692644	100	527007	4365040	65.59	126837	70814	12	23	0.34
GCF_001380015.1_7769_7_41_genomic	102	78	54	52	41	31	4366780	4351609	4297841	4281312	4081005	3696850	96	393332	4364415	65.60	122544	69321	13	25	3.64
GCF_001380035.1_7755_3_65_genomic	102	84	56	52	41	30	4364895	4354877	4291975	4261115	4062118	3614017	94	291571	4361613	65.60	122572	70891	13	25	0.87
GCF_001380055.1_7841_6_18_genomic	104	89	60	55	42	33	4369116	4360100	4296407	4259003	4029833	3671227	97	230534	4366368	65.60	103884	64541	14	27	12.09
GCF_001380075.1_7755_4_18_genomic	110	88	60	51	41	32	4400336	4386039	4331936	4265023	4102535	3802408	102	297636	4397129	65.59	125603	73576	13	24	2.55
GCF_001380095.1_7769_7_28_genomic	118	92	64	58	40	28	4363522	4347119	4281489	4232650	3908939	3448386	110	295522	4360233	65.59	103952	64196	13	26	0.44
GCF_001380115.1_7755_2_15_genomic	98	72	54	49	38	32	4401109	4383976	4343101	4304924	4137306	3931325	90	365779	4398075	65.58	125577	83869	12	23	4.02
GCF_001380135.1_7841_6_19_genomic	106	84	60	55	41	27	4368847	4356031	4299034	4259905	4013903	3475351	98	523723	4365600	65.59	126838	62903	11	24	0.07
GCF_001380155.1_7769_7_40_genomic	109	80	58	53	42	31	4352604	4335377	4281675	4242813	4043172	3624865	98	526853	4348340	65.59	101925	67743	13	25	0.00
GCF_001380175.1_7841_6_43_genomic	131	101	71	64	51	35	4362751	4343207	4276471	4221320	3998614	3428826	123	230378	4359460	65.59	93979	59476	17	33	5.94
GCF_001380195.1_7769_7_3_genomic	102	80	57	52	45	33	4398878	4385991	4336193	4298525	4177336	3731405	94	276495	4395688	65.60	107579	64754	13	26	3.09
GCF_001380215.1_7755_3_64_genomic	118	91	61	57	46	32	4369377	4352551	4282852	4253504	4046039	3509826	111	233879	4366489	65.60	98841	61796	15	29	1.28
GCF_001380235.1_7755_4_19_genomic	96	71	45	42	35	30	4364736	4350877	4297295	4275881	4161907	3966370	85	297181	4360715	65.60	144846	97834	11	20	4.10
GCF_001380255.1_7755_4_20_genomic	127	94	63	58	47	33	4364868	4343535	4270052	4232111	4042028	3530738	119	233827	4361503	65.60	98843	61795	15	29	7.89
GCF_001380275.1_7769_7_1_genomic	117	86	59	51	41	30	4370034	4351122	4287013	4226725	4053051	3629471	106	226561	4365590	65.59	125711	65745	13	25	0.05
GCF_001380295.1_7755_2_14_genomic	99	74	49	45	36	31	4369688	4355966	4301624	4272681	4125867	3949177	86	246074	4364689	65.61	136779	82201	11	21	0.71
GCF_001380315.1_7769_8_67_genomic	115	89	58	54	44	33	4366607	4351356	4287877	4258461	4071872	3658825	108	295527	4363809	65.59	101805	67588	14	27	0.09
GCF_001380335.1_7755_3_92_genomic	114	85	60	55	44	34	4366967	4349537	4292966	4255964	4059862	3684430	103	295586	4362499	65.59	107346	64213	14	27	4.52
GCF_001380355.1_7769_7_2_genomic	118	90	61	55	43	30	4366648	4348993	4286956	4241863	4029605	3551613	110	230354	4363565	65.60	125504	60694	14	26	0.02
GCF_001380375.1_7755_4_14_genomic	142	91	61	56	44	36	4383185	4355888	4291070	4252696	4044408	3760179	117	295527	4373668	65.58	99247	64147	15	28	4.21
GCF_001380395.1_7755_5_90_genomic	107	82	59	51	41	30	4381668	4366102	4311876	4249257	4085637	3671164	99	526942	4378538	65.59	118823	71120	12	24	2.06
GCF_001380415.1_7755_2_36_genomic	102	77	52	50	42	33	4380962	4365328	4311135	4296805	4162668	3801902	97	255104	4379048	65.59	105074	67190	13	25	3.75
GCF_001380435.1_7314_8_80_genomic	103	79	55	52	42	35	4368019	4352008	4296730	4270923	4081330	3824236	98	295599	4366084	65.59	106086	67744	13	26	1.05
GCF_001380455.1_7755_2_35_genomic	88	73	52	50	42	31	4369806	4360535	4313429	4301032	4167030	3738402	83	298610	4367875	65.60	115621	81475	13	24	4.24
GCF_001380475.1_7156_6_11_genomic	108	77	54	51	43	32	4364007	4344946	4295203	4269415	4138302	3716170	97	295397	4359716	65.59	122369	68094	13	25	1.08
GCF_001380495.1_7841_6_30_genomic	114	76	59	53	43	33	4360729	4338934	4298016	4253831	4088765	3701453	100	393866	4355396	65.60	105682	64176	14	26	15.50
GCF_001380515.1_7314_8_67_genomic	99	72	49	46	38	32	4368063	4350798	4304971	4283323	4146135	3934825	91	302788	4364966	65.60	136524	73252	11	22	0.02
GCF_001380535.1_7755_3_90_genomic	83	66	43	42	33	28	4358791	4347420	4289179	4282308	4127062	3912773	79	346894	4357173	65.60	162862	83888	10	20	1.90
GCF_001380555.1_7156_6_39_genomic	105	79	56	52	41	31	4368075	4352024	4299305	4272814	4080473	3692419	94	295595	4364023	65.59	114616	64315	13	25	6.71
GCF_001380575.1_7755_5_91_genomic	111	85	59	55	43	32	4368091	4351982	4289625	4260838	4047488	3625476	102	296042	4364320	65.59	102795	61795	13	27	5.09
GCF_001380595.1_7841_6_29_genomic	122	93	66	58	47	32	4364234	4346162	4283984	4229726	4033897	3491401	111	230409	4359741	65.60	98847	64173	16	29	6.63
GCF_001380615.1_7755_4_13_genomic	110	83	60	56	43	33	4367228	4349981	4295707	4261848	4029298	3648875	102	233739	4364206	65.59	108529	61840	14	27	3.76
GCF_001380635.1_7755_3_91_genomic	117	88	61	57	44	32	4366719	4349548	4290220	4257553	4031845	3570074	107	256925	4362735	65.60	101845	64186	15	27	5.04
GCF_001380655.1_7156_7_96_genomic	128	94	62	56	44	32	4369708	4349315	4276313	4229191	4020313	3584230	117	230428	4365429	65.59	104831	63281	14	27	6.67
GCF_001380675.1_7156_6_40_genomic	90	69	48	45	39	28	4376141	4362470	4310848	4291097	4193413	3748115	83	299122	4373353	65.62	130115	82332	12	22	13.08
